Year;Ward ;Roll Type;Count;;;;;;;;;;;;;;;;;;;;
2007;North;Council Supplementary;4150;;;;;;;;;;;;;;;;;;;;
2007;Central;Council Supplementary;1303;;;;;;;;;;;;;;;;;;;;
2007;South;Council Supplementary;3991;;;;;;;;;;;;;;;;;;;;
2007;North;Electoral Commission South Australia;2369;;;;;;;;;;;;;;;;;;;;
2007;Central;Electoral Commission South Australia;6379;;;;;;;;;;;;;;;;;;;;
2007;South;Electoral Commission South Australia;2533;;;;;;;;;;;;;;;;;;;;
2010;North;Council Supplementary;2472;;;;;;;;;;;;;;;;;;;;
2010;Central;Council Supplementary;7170;;;;;;;;;;;;;;;;;;;;
2010;South;Council Supplementary;3563;;;;;;;;;;;;;;;;;;;;
2010;North;Electoral Commission South Australia;4369;;;;;;;;;;;;;;;;;;;;
2010;Central;Electoral Commission South Australia;1619;;;;;;;;;;;;;;;;;;;;
2010;South;Electoral Commission South Australia;4051;;;;;;;;;;;;;;;;;;;;
2014;North;Council Supplementary;2424;;;;;;;;;;;;;;;;;;;;
2014;Central;Council Supplementary;7653;;;;;;;;;;;;;;;;;;;;
2014;South;Council Supplementary;3291;;;;;;;;;;;;;;;;;;;;
2014;North;Electoral Commission South Australia;4468;;;;;;;;;;;;;;;;;;;;
2014;Central;Electoral Commission South Australia;2059;;;;;;;;;;;;;;;;;;;;
2014;South;Electoral Commission South Australia;4288;;;;;;;;;;;;;;;;;;;;
