"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Charles Sturt University",0,0,0,2500,5500,0,0,0,0,4681,25500,0,42502,14198,10242,24300,99017,15852,4004651,12093,7800,17750
"Macquarie University",308516,141728,71500,18133,68670,131230,40292,0,0,20000,139753,165614,174200,183803,188780,200599,159789,330740,80664,1190524,786588,1135775
"Southern Cross University",0,0,0,0,0,0,0,13000,6500,26000,26000,6500,9150,16612,7040,65599,67916,66096,101124,62080,105015,71658
"The University of Sydney",1723770,1266582,1265948,1199590,1294344,2950533,3868120,2871561,1136016,1254031,1428240,2626435,4956308,2660352,6108259,7148772,9776827,8783538,7544486,4201811,4218180,3664222
"The University of New England",61842,78899,30249,14006,1090,198909,2356,27401,93219,81612,94489,1104119,912110,33326,100602,112398,98273,29500,2048656,34025,27525,59721
"The University of New South  Wales",768926,909025,906678,837811,726774,1096483,914761,1625990,1224707,1588296,1840518,2576372,4739171,3051502,2760664,3690182,3712239,6058278,127850,2980631,4513188,5002716
"The University of Newcastle",617505,419949,244210,314364,273445,259309,191183,146624,219472,867430,426735,402484,1202041,864841,1284522,1416553,949312,1265678,188519,2250634,2383687,2268551
"University of Technology, Sydney",395735,44075,39500,92703,22800,0,48585,178489,84907,37363,26977,48557,131167,47885,95997,112011,51671,0,30880,403738,1352168,1583823
"University of Western Sydney",0,0,20000,0,0,45000,52000,80000,39091,110555,139898,180942,199486,29875,10512,125490,45745,100927,497365,184469,162479,387359
"University of Wollongong",241967,196335,177498,62126,60800,15000,15000,25000,57550,99530,57600,1150361,864990,1890293,1478898,1008959,1025608,1846486,431115,1759500,2401812,1800269
"Deakin University",24000,27437,1500,8000,43500,44596,33204,0,147415,110319,25500,1286870,2032736,351596,401220,396282,358913,864869,515366,871457,630223,1192519
"La Trobe University",179449,299137,94100,229935,251792,158850,186500,64440,70000,120930,77974,154871,288641,196775,114302,151829,215729,513537,141578,0,338724,16050
"Monash University",1009293,686935,695949,750153,547914,603530,1051609,2125132,3132518,904554,1286601,2000204,4725310,4904360,9382457,5979551,7137307,6608980,313751,6577789,7765078,7543556
"RMIT University",245675,284986,278149,141341,78250,18971,759,50000,242020,354982,373436,176958,362579,285233,264000,316952,456117,310084,88100,1268133,1029977,917247
"Swinburne University of Technology",39283,49200,47776,60530,8219,0,0,0,0,171399,266445,246917,471386,245768,344146,370131,279449,357923,0,300858,361313,1246214
"The University of Melbourne",1823212,1507376,1707230,2658684,1823315,2401152,1480458,2671071,2566065,3627817,2463686,1454827,1743574,1872045,5265303,6869737,7956085,6707702,5451593,6898543,8179486,6831322
"University of Ballarat",12750,15000,13300,0,1950,0,0,56660,0,0,36224,0,0,0,0,0,0,0,0,9550,24520,41850
"Victoria University",29925,87480,57125,52700,14000,0,0,0,0,0,0,10000,0,0,0,0,0,129624,0,363678,639827,747330
"Bond University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87580,0,264894,-245866,0
"Central Queensland University",5000,0,0,9000,1383,4917,0,0,587,0,15270,21750,24792,183535,128861,195244,323805,162737,438304,37800,63670,182065
"Griffith University",48827,138962,100162,71103,90465,118432,166200,278875,296355,389359,415640,337315,162177,189725,389419,326133,179229,514563,455065,498629,508250,1041720
"James Cook University",0,38800,47000,89755,49400,121398,82157,38000,56321,55955,27805,159586,167071,157877,340903,369687,113898,186060,850493,211650,169535,278932
"Queensland University of Technology",242409,234274,54919,422620,144400,163833,42452,114969,74130,218884,339481,268927,203339,232450,416123,150928,317445,73276,1989304,327262,510300,1027398
"The University of Queensland",1106680,728675,519878,1280216,1110727,2096264,2035542,2656793,2394424,1883034,1887896,2811133,3535475,4219043,4515027,8200172,6971094,8446975,4754589,7988844,7976322,8208918
"University of Southern Queensland",0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870609,0,289215,40905
"University of the Sunshine Coast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113400,13800,265221,74790,58233,-30351
"Curtin University of Technology",88400,2500,27590,11970,7147,160148,236123,192546,250074,217899,232773,132828,445573,228586,897731,628834,542850,293540,76042,610446,1628829,3033773
"Edith Cowan University",0,0,0,35738,103133,87276,31215,42347,9000,24500,120021,39544,146869,86191,181909,196077,280817,325999,0,942702,1162141,1015044
"Murdoch University",90000,139500,151677,160500,91253,70929,0,0,18436,16170,171966,236730,295607,151497,152972,297623,161598,124050,4178103,172115,85967,422328
"The University of Notre Dame Australia (member as from 2008 figures)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58231,15043,0,19630,0,0
"The University of Western Australia",469932,416299,464114,703148,606537,491700,451281,576312,774925,847554,771218,1100579,1728428,1467862,1056028,1122329,1423198,2330960,8777227,1422592,2201310,10757504
"Flinders University",483469,434928,324245,293828,321545,654440,303828,510902,141150,169537,276002,585740,691246,722490,896224,1030909,923264,952934,478087,2116176,1742364,1353902
"The University of Adelaide",789189,719349,783104,908297,320541,906781,206114,465599,607933,136214,206380,731276,1979039,2129379,2401510,2601222,2947347,3135624,8653523,2067941,3235970,3525557
"University of South Australia",30206,97485,26000,20000,8750,35000,115750,76250,10204,27648,69994,73113,177900,180798,180260,170483,305478,85952,667437,272166,1437583,1453847
"University of Tasmania",88898,64653,153800,144307,45219,68620,56803,66160,116692,165735,174733,1109749,1988469,1786358,2043082,872675,1838782,1095841,6192244,394872,563847,948422
"Charles Darwin University",0,0,0,0,0,0,0,13000,26000,28000,23835,19500,164796,162013,290141,229106,72792,49230,0,74350,212911,403564
"The Australian National University",0,0,0,0,0,0,0,0,651762,744470,968121,952462,1520408,1010676,2142207,1551207,906687,207085,616068,631636,461744,1838817
"University of Canberra",0,0,12750,0,96922,0,18400,6530,0,59853,30414,84659,151621,61048,104665,209327,62825,29883,0,16980,0,5000
"Australian Catholic University",0,0,0,0,0,0,0,0,0,0,0,0,30605,0,0,0,0,0,0,10800,0,33532
