PROPERTIES,MERCURY,VENUS,EARTH,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,MOON,SUN
Mass (1024kg),0.33,4.87,5.97,0.642,1898,568,86.8,102,0.015,0.073,
Diameter (km),4879,12104,12756,6792,142984,120536,51118,49528,2370,3475,1391400
Density (kg/m3),5427,5243,5514,3933,1326,687,1271,1638,2095,3340,
Gravity (m/s2),3.7,8.9,9.8,3.7,23.1,9,8.7,11,0.7,1.6,
Escape Velocity (km/s),4.3,10.4,11.2,5,59.5,35.5,21.3,23.5,1.3,2.4,
Rotation Period (hours),1407.6,-5832.5,23.9,24.6,9.9,10.7,-17.2,16.1,-153.3,655.7,
Length of Day (hours),4222.6,2802,24,24.7,9.9,10.7,17.2,16.1,153.3,708.7,
Distance from Sun (km),57900000,108200000,149600000,227900000,778600000,1433500000,2872500000,4495100000,5906400000,0.384*,
Perihelion (km),46000000,107500000,147100000,206600000,740500000,1352600000,2741300000,4444500000,4436800000,0.363*,
Aphelion (km),69800000,108900000,152100000,249200000,816600000,1514500000,3003600000,4545700000,7375900000,0.406*,
Orbital Period (days),88,224.7,365.2,687,4331,10747,30589,59800,90560,27.3,
Orbital Velocity (km/s),47.4,35,29.8,24.1,13.1,9.7,6.8,5.4,4.7,1,
Orbital Inclination (degrees),7,3.4,0,1.9,1.3,2.5,0.8,1.8,17.2,5.1,
Orbital Eccentricity,0.205,0.007,0.017,0.094,0.049,0.057,0.046,0.011,0.244,0.055,
Obliquity to Orbit (degrees),0.01,177.4,23.4,25.2,3.1,26.7,97.8,28.3,122.5,6.7,
Mean Temperature (C),167,464,15,-65,-110,-140,-195,-200,-225,-20,
Surface Pressure (bars),0,92,1,0.01,,,,,0,0,
Number of Moons,0,0,1,2,67,62,27,14,5,0,
Ring System?,No,No,No,No,Yes,Yes,Yes,Yes,No,No,
Global Magnetic Field?,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Unknown,No,
Start Position,5,4,1.65,1.95,1.35,2.8,5.3,4.5,,,
